index,verbatimScientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,basisOfRecord,institutionCode
19818,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.716886,-103.750119,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19819,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686339,-103.7659,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
19820,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.75905,-103.783922,2005-10-14,HUMAN_OBSERVATION,ENCB-IPN
19821,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-08-29,HUMAN_OBSERVATION,ENCB-IPN
19822,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.689386,-103.749144,2010-11-11,HUMAN_OBSERVATION,ENCB-IPN
19823,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19824,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19825,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.660347,-103.781572,2010-11-08,HUMAN_OBSERVATION,ENCB-IPN
19826,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.692411,-103.741019,2008-11-01,HUMAN_OBSERVATION,ENCB-IPN
19827,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19828,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19829,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.768467,-103.786094,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
